lat,lng
53.286774,-6.245183
53.37332,-6.274417
53.271743,-6.213767
53.392515,-6.300151
53.305724,-6.298539
53.33436,-6.325959
53.286171,-6.26926
53.314709,-6.279872
53.286746,-6.178241
53.419753,-6.226095
53.279585,-6.143119
53.299876,-6.179007
53.345507,-6.267847
53.326355,-6.26315
53.382903,-6.365292
53.250001,-6.191125
53.290883,-6.13165
53.287045,-6.196829
53.360381,-6.257506
53.253554,-6.13042
53.37786,-6.244234
53.370813,-6.315003
53.334192,-6.278292
53.261367,-6.155157
53.369044,-6.218948
53.358035,-6.268935
53.353831,-6.231171
53.244865,-6.137441
53.347601,-6.279674
53.33815,-6.238469
53.335933,-6.263602
53.323752,-6.247185
53.382019,-6.165686
53.290172,-6.229803
53.401608,-6.172904
53.370261,-6.193284
53.333085,-6.30201
53.388753,-6.206954
53.347816,-6.256997
53.343677,-6.359943
53.353523,-6.243813
53.339977,-6.220313
53.398181,-6.264798
53.313464,-6.209186
53.279519,-6.164772
53.394076,-6.23744
53.352243,-6.29433
53.305538,-6.253584
53.317481,-6.232884
53.3386,-6.251761