DATETIME,53.286774 -6.245183,53.37331999999999 -6.274417,53.27174300000001 -6.213767,53.392515 -6.3001510000000005,53.305724 -6.298539,53.33436 -6.325958999999999,53.286170999999996 -6.26926,53.31470899999999 -6.279872,53.286745999999994 -6.178241000000001,53.419753 -6.226095,53.279585 -6.143119,53.299876 -6.179007,53.345507 -6.267847,53.32635500000001 -6.26315,53.382903000000006 -6.365292,53.250001 -6.191125,53.290882999999994 -6.13165,53.28704499999999 -6.196829,53.360381000000004 -6.257505999999999,53.253554 -6.13042,53.37786 -6.244234,53.370813 -6.315003,53.334192 -6.2782919999999995,53.26136700000001 -6.155157,53.369043999999995 -6.218948,53.358035 -6.268935,53.35383100000001 -6.231171,53.244865000000004 -6.137441,53.347601 -6.279674,53.33815 -6.238469,53.335933 -6.263602,53.323752 -6.247185,53.38201899999999 -6.165686,53.290172 -6.2298029999999995,53.370261 -6.193283999999999,53.333085 -6.30201,53.388753 -6.2069540000000005,53.347816 -6.256997,53.343677 -6.359943,53.353522999999996 -6.243812999999999,53.339977000000005 -6.220313,53.39818100000001 -6.264798000000001,53.313464 -6.209186,53.27951899999999 -6.164772,53.394076 -6.23744,53.35224300000001 -6.29433,53.305538 -6.253584,53.31748100000001 -6.232883999999999,53.3386 -6.251761,53.401607999999996 -6.172904
2020-03-22 02:00:00+00:00,77,76,76,76,76,76,77,76,77,76,77,77,76,76,76,77,77,70,76,76,76,76,76,77,76,76,73,76,76,73,74,76,76,77,76,76,76,74,76,73,76,76,76,77,76,76,76,76,74,73
2020-03-22 03:00:00+00:00,80,78,81,78,79,79,80,78,80,78,80,79,74,78,79,80,75,80,75,79,78,78,78,80,78,74,74,79,68,75,71,78,79,80,78,78,78,72,79,78,78,78,78,80,78,78,78,78,73,78
2020-03-22 04:00:00+00:00,79,78,80,78,78,78,79,75,79,78,79,79,76,78,78,79,79,78,76,79,78,78,78,79,78,78,78,78,68,77,74,78,78,79,78,78,78,73,78,78,78,78,78,79,78,78,78,78,74,78
2020-03-22 05:00:00+00:00,79,79,79,79,66,76,79,70,79,79,79,79,79,79,79,79,76,79,76,78,75,79,72,79,79,79,79,78,79,69,71,79,79,80,79,79,79,71,79,79,79,79,79,79,79,79,79,79,74,79
2020-03-22 06:00:00+00:00,79,79,80,79,71,79,79,71,79,79,79,79,72,79,79,79,77,72,68,77,79,79,72,78,79,77,79,77,72,73,79,79,79,80,79,79,79,73,79,79,79,79,79,79,71,79,79,79,75,79
2020-03-22 07:00:00+00:00,79,79,78,79,74,79,79,73,79,79,79,79,75,79,79,79,79,79,74,69,79,79,73,79,79,73,72,78,72,77,73,79,79,79,79,79,79,75,79,72,79,79,79,79,79,68,75,79,67,72
2020-03-22 08:00:00+00:00,76,77,75,77,77,77,76,76,76,77,76,76,77,77,77,76,76,69,74,75,77,77,77,75,77,74,77,77,77,62,75,77,77,76,77,77,77,68,77,71,77,77,77,76,77,77,77,77,72,71
2020-03-22 09:00:00+00:00,69,79,78,77,71,79,78,69,78,79,78,78,71,73,79,78,78,69,65,71,73,79,76,71,79,64,78,78,66,65,64,79,79,78,79,79,79,63,79,64,74,77,78,78,79,79,79,78,62,64
2020-03-22 10:00:00+00:00,68,80,76,75,73,80,81,71,69,81,78,67,67,70,78,81,70,65,68,70,68,80,73,66,81,71,64,80,71,63,69,71,81,74,81,75,81,63,75,66,68,70,77,78,81,68,80,64,59,66
2020-03-22 11:00:00+00:00,64,73,70,69,69,73,78,65,63,85,73,59,64,65,83,77,66,62,60,71,68,86,66,67,80,63,61,77,68,58,65,69,86,64,75,73,86,59,68,60,54,75,72,69,84,71,64,67,58,60
2020-03-22 12:00:00+00:00,57,80,65,63,66,65,74,62,58,80,70,55,63,57,73,72,64,56,57,62,64,80,62,59,75,59,57,69,61,56,61,58,80,60,68,68,80,55,68,57,52,71,66,58,79,64,59,57,55,57
2020-03-22 13:00:00+00:00,59,67,66,66,66,58,66,55,64,67,67,59,67,59,67,67,67,65,58,68,67,67,65,64,67,66,64,69,64,59,66,58,67,57,67,66,67,61,67,50,57,67,67,59,67,64,62,59,58,50
2020-03-22 14:00:00+00:00,60,69,67,66,68,64,68,59,62,69,66,63,67,58,69,68,64,61,58,63,52,69,66,65,69,59,65,64,64,57,63,58,69,59,64,66,69,57,69,59,53,69,69,57,69,56,62,65,57,59
2020-03-22 15:00:00+00:00,67,69,68,64,67,56,68,58,59,69,69,60,58,55,69,68,65,63,57,55,58,69,68,62,69,64,65,69,63,57,64,64,69,60,63,65,69,59,63,55,54,69,69,54,69,64,69,61,60,55
2020-03-22 16:00:00+00:00,66,69,69,65,67,69,69,58,60,69,65,60,57,64,69,69,67,62,64,64,57,69,69,69,69,63,65,69,69,57,65,60,69,58,69,69,69,61,69,53,53,69,69,59,69,62,65,64,63,53
2020-03-22 17:00:00+00:00,62,71,66,64,66,60,72,64,61,71,62,56,59,46,69,72,67,60,56,63,65,71,67,62,71,57,63,71,59,52,62,59,71,54,69,64,71,55,69,54,54,62,71,60,71,53,62,65,59,54
2020-03-22 18:00:00+00:00,63,74,68,61,66,63,75,63,58,74,63,55,63,59,66,75,61,62,52,61,66,74,63,63,74,61,62,69,59,52,64,59,74,57,63,59,74,54,66,60,54,68,74,61,74,52,66,62,61,60
2020-03-22 19:00:00+00:00,56,73,62,56,59,57,73,55,57,73,60,57,49,55,68,73,56,57,52,59,58,73,59,60,73,55,60,59,59,46,56,51,73,57,57,57,73,55,59,54,57,57,73,53,73,56,59,61,56,54
2020-03-22 20:00:00+00:00,54,73,63,57,57,58,73,59,57,73,57,57,58,54,60,73,57,58,56,59,59,73,59,62,73,58,56,66,56,55,58,54,73,59,59,56,73,57,58,54,56,63,73,53,73,55,55,65,53,54
2020-03-22 21:00:00+00:00,58,74,63,57,56,62,74,59,59,74,73,59,59,54,60,74,56,61,58,59,59,74,60,67,74,57,63,66,58,58,60,59,74,60,69,56,74,57,56,58,58,59,74,59,63,59,62,66,56,58
2020-03-22 22:00:00+00:00,56,73,62,57,56,56,73,57,59,73,67,58,59,54,63,73,61,59,56,59,63,73,61,67,73,59,59,69,56,58,59,59,73,60,65,60,73,56,59,58,57,59,73,65,73,57,67,67,58,58
2020-03-22 23:00:00+00:00,51,62,61,54,49,52,62,50,51,62,56,55,49,52,54,62,53,52,48,52,55,62,54,61,62,49,51,54,51,51,52,56,62,54,62,51,62,52,49,54,52,52,62,54,62,52,55,61,49,54
2020-03-23 00:00:00+00:00,52,67,65,56,52,55,67,55,56,67,59,56,52,55,62,67,56,56,54,55,55,67,54,63,67,55,55,65,52,58,56,58,67,62,67,58,67,52,55,60,56,55,67,62,67,55,67,65,56,60
2020-03-23 01:00:00+00:00,62,62,60,62,55,62,62,53,62,62,55,55,50,62,58,62,62,60,49,62,60,62,52,62,62,52,52,60,52,51,53,62,62,62,62,62,62,50,62,52,62,62,62,61,62,62,62,62,49,52
2020-03-23 02:00:00+00:00,56,56,55,56,56,54,56,56,56,56,53,55,49,51,55,56,56,55,47,56,55,56,56,56,56,45,56,53,47,48,47,56,56,56,56,52,56,47,56,48,54,56,56,56,56,56,56,56,48,48
2020-03-23 03:00:00+00:00,58,58,55,58,58,58,58,58,57,58,58,56,48,58,56,58,58,57,51,58,58,58,58,58,58,52,58,58,48,52,58,58,58,58,58,58,58,48,58,49,58,54,58,58,58,58,58,58,51,49
2020-03-23 04:00:00+00:00,82,82,80,82,80,79,81,82,84,82,85,84,68,81,74,83,84,80,81,85,82,82,82,84,82,81,81,84,71,81,78,81,83,81,82,82,82,74,74,69,81,81,82,84,82,82,82,81,81,69
2020-03-23 05:00:00+00:00,77,77,69,77,76,67,77,76,77,77,77,77,62,77,75,77,77,77,58,77,77,77,66,77,77,63,77,77,59,77,63,69,77,77,77,71,77,63,77,77,73,77,77,77,77,77,73,77,77,77
2020-03-23 06:00:00+00:00,83,81,79,81,82,81,83,72,83,81,82,72,70,81,80,83,82,83,71,82,73,81,72,83,81,77,81,81,68,81,72,81,81,83,81,81,81,71,82,65,81,77,81,80,70,81,81,81,81,65
2020-03-23 07:00:00+00:00,76,80,80,80,72,80,80,74,80,80,80,80,73,77,79,80,80,80,69,80,80,80,71,80,80,73,78,80,71,71,71,80,80,80,80,74,80,71,80,75,80,75,80,80,74,80,80,80,71,75
2020-03-23 08:00:00+00:00,68,79,80,71,72,72,80,72,80,79,79,75,71,69,77,79,79,72,59,77,74,79,72,75,79,68,68,78,71,62,73,68,79,68,79,70,79,58,76,57,75,75,79,79,76,75,79,70,73,57
2020-03-23 09:00:00+00:00,64,72,72,65,68,69,82,66,69,83,71,61,69,59,59,81,66,68,51,74,59,83,68,57,83,65,59,63,60,52,58,66,83,64,83,55,83,57,71,55,63,62,78,67,83,60,64,66,62,55
2020-03-23 10:00:00+00:00,59,75,63,60,70,59,81,62,63,82,63,60,66,58,62,79,57,58,58,65,49,82,65,69,82,65,56,56,58,53,59,62,82,59,81,56,82,56,71,56,56,71,77,56,82,51,71,68,57,56
2020-03-23 11:00:00+00:00,57,72,59,63,62,63,75,56,57,81,56,50,52,57,56,73,59,55,50,57,59,82,62,59,75,60,53,54,59,43,54,57,82,56,66,57,81,40,67,45,50,66,65,55,74,55,57,57,50,45
2020-03-23 12:00:00+00:00,50,70,56,59,59,58,69,54,54,79,53,50,50,54,69,66,47,51,52,56,58,79,59,55,70,57,41,54,55,40,54,46,79,49,67,63,79,47,63,48,39,61,57,52,72,50,56,52,47,48
2020-03-23 13:00:00+00:00,66,74,70,67,73,71,72,68,65,73,62,59,72,59,73,71,68,58,54,68,60,73,72,67,74,67,57,66,62,57,62,65,73,59,73,67,73,59,73,52,57,62,74,62,74,74,74,65,62,52
2020-03-23 14:00:00+00:00,54,77,48,61,65,58,72,57,51,77,48,45,59,54,73,66,51,51,56,52,60,77,66,52,68,65,41,56,61,38,55,50,76,49,72,68,77,57,68,48,38,66,55,46,76,52,54,51,52,48
2020-03-23 15:00:00+00:00,50,79,56,58,62,58,70,50,52,79,51,42,62,55,63,65,51,50,55,52,54,79,58,55,67,58,41,57,61,38,57,51,79,51,63,57,77,54,63,45,39,63,55,47,66,52,57,52,52,45
2020-03-23 16:00:00+00:00,50,79,51,58,67,56,70,55,51,78,50,48,55,56,64,64,51,50,53,52,53,79,64,47,66,60,46,52,61,39,54,50,78,45,66,54,77,46,58,46,38,56,54,44,77,58,57,51,49,46
2020-03-23 17:00:00+00:00,59,76,64,65,75,65,74,67,55,76,54,48,64,64,76,73,56,56,55,56,57,76,75,48,75,72,49,59,72,45,59,57,75,51,67,63,75,58,67,45,46,68,63,56,76,58,61,58,55,45
2020-03-23 18:00:00+00:00,57,73,59,59,73,63,77,65,53,77,51,45,63,61,71,71,53,53,54,53,55,76,74,46,71,70,46,56,70,42,58,54,77,49,65,64,77,56,64,42,40,64,58,53,77,57,58,55,53,42
2020-03-23 19:00:00+00:00,63,72,66,63,66,65,71,63,64,73,66,62,61,63,68,70,64,63,59,63,66,73,64,66,72,62,61,67,61,59,61,65,72,64,69,64,72,58,67,60,60,66,70,64,71,65,66,66,60,60
2020-03-23 20:00:00+00:00,69,71,68,69,71,71,71,71,66,70,67,64,72,71,70,69,67,66,71,69,71,70,71,68,71,72,62,69,72,60,72,66,71,67,71,71,71,71,71,67,56,70,62,67,70,71,69,64,68,67
2020-03-23 21:00:00+00:00,54,69,60,55,56,55,68,50,53,70,55,55,55,50,57,68,56,52,52,56,55,70,55,60,69,51,53,60,55,49,54,54,69,54,56,51,69,51,55,48,53,57,68,53,70,56,54,59,53,48
2020-03-23 22:00:00+00:00,59,76,68,61,57,58,74,56,58,78,59,58,57,54,65,74,62,59,51,61,63,77,59,69,75,57,57,70,57,58,56,56,76,59,60,56,76,56,58,58,60,61,74,59,77,57,61,66,59,58
2020-03-23 23:00:00+00:00,56,75,72,64,59,56,74,56,58,77,65,56,56,56,69,73,61,60,56,60,63,76,57,70,74,56,56,73,56,57,56,56,75,57,59,59,75,56,57,56,56,64,73,59,76,59,65,72,57,56
2020-03-24 00:00:00+00:00,60,75,70,51,63,65,78,60,63,70,72,61,61,65,67,79,61,67,60,62,64,71,64,65,76,59,62,77,65,63,66,69,75,70,70,64,74,60,58,62,64,56,78,73,72,74,69,79,62,62
2020-03-24 01:00:00+00:00,83,79,73,70,74,70,83,71,82,76,82,73,65,80,70,83,82,83,64,73,71,77,69,80,80,69,76,80,65,70,68,80,80,83,80,71,79,55,79,68,76,75,80,81,77,80,80,80,69,68
2020-03-24 02:00:00+00:00,73,79,69,67,79,79,79,79,79,79,79,75,64,79,72,79,71,79,66,79,79,79,72,79,79,63,64,79,64,64,65,79,79,77,79,69,79,64,79,61,77,79,79,79,79,79,79,79,65,61
2020-03-24 03:00:00+00:00,78,78,74,74,78,73,78,78,78,78,69,78,59,66,72,78,78,78,66,78,69,78,72,78,78,63,72,74,59,70,60,78,78,73,78,71,78,59,78,70,74,78,78,74,78,78,78,78,62,70
2020-03-24 04:00:00+00:00,53,66,65,65,66,62,66,66,66,66,66,66,66,57,65,66,66,66,56,66,66,66,57,66,66,66,66,66,52,66,55,59,66,65,66,66,66,55,66,66,62,66,66,65,66,66,66,66,56,66
2020-03-24 05:00:00+00:00,77,76,78,77,77,77,77,77,77,76,76,77,68,76,77,77,76,78,73,74,73,77,72,76,76,73,76,74,73,68,74,76,76,78,76,77,76,70,77,76,76,76,77,77,76,77,76,76,76,76
2020-03-24 06:00:00+00:00,78,77,79,77,77,77,78,77,74,77,77,78,74,77,76,78,77,78,72,76,77,77,72,77,77,72,77,75,74,76,71,77,77,79,77,77,77,71,76,71,77,77,77,69,74,77,77,77,72,71
2020-03-24 07:00:00+00:00,78,76,77,76,77,76,78,76,75,76,77,76,73,73,77,78,77,72,70,76,76,76,70,77,76,72,70,75,69,68,68,66,76,75,76,73,76,71,77,76,76,76,76,78,76,76,76,76,64,76
2020-03-24 08:00:00+00:00,76,75,77,71,75,76,77,75,73,75,76,62,68,68,73,77,74,72,70,74,74,75,71,76,75,71,69,74,68,64,71,75,75,66,75,74,75,68,76,57,73,74,75,72,75,75,75,75,68,57
2020-03-24 09:00:00+00:00,69,71,71,69,69,69,77,71,67,74,55,62,66,62,58,78,64,62,51,71,58,74,65,65,74,66,51,74,63,56,66,57,75,58,74,68,74,58,69,52,64,72,74,72,74,69,71,61,62,52
2020-03-24 10:00:00+00:00,63,72,61,69,69,62,77,65,65,75,64,54,67,65,59,77,63,55,53,63,57,75,69,67,75,64,52,71,66,50,58,65,75,63,72,64,75,52,68,54,57,72,75,62,75,55,64,64,55,54
2020-03-24 11:00:00+00:00,66,72,67,69,73,72,75,68,62,72,66,55,67,59,60,76,65,65,54,68,72,72,72,65,72,68,55,64,67,55,67,59,72,63,72,65,72,56,70,58,59,71,72,58,72,60,67,68,56,58
2020-03-24 12:00:00+00:00,63,73,68,54,72,66,76,66,62,74,59,53,59,67,67,77,68,62,55,64,66,73,57,65,74,69,53,73,64,51,69,57,74,65,69,68,74,59,63,57,58,60,74,58,73,71,64,66,57,57
2020-03-24 13:00:00+00:00,48,72,70,57,65,57,73,63,59,72,61,58,66,57,68,73,63,51,56,62,58,72,69,62,72,64,61,62,64,53,60,58,72,61,67,65,72,55,57,62,50,67,72,60,72,53,69,69,58,62
2020-03-24 14:00:00+00:00,57,72,67,68,70,69,69,53,65,72,59,58,60,59,72,69,65,55,71,65,56,72,71,67,71,73,55,67,70,52,64,61,71,56,71,64,71,55,58,57,59,67,68,58,72,65,68,68,58,57
2020-03-24 15:00:00+00:00,59,67,50,61,68,57,72,58,68,72,58,55,66,59,71,73,71,60,58,68,60,73,61,65,72,64,56,64,69,51,65,59,72,54,70,64,72,61,64,57,56,70,70,55,73,60,70,69,57,57
2020-03-24 16:00:00+00:00,55,72,71,56,70,62,73,64,63,72,65,56,71,59,58,73,68,57,57,56,54,72,71,58,72,68,63,56,70,56,59,58,72,56,72,60,72,65,57,63,59,69,72,62,72,59,68,70,58,63
2020-03-24 17:00:00+00:00,62,71,72,57,70,70,70,69,68,70,65,59,70,67,71,71,65,69,67,58,64,71,69,65,70,65,65,70,62,59,70,69,70,58,70,56,70,52,61,60,65,64,69,68,70,65,69,69,63,60
2020-03-24 18:00:00+00:00,65,74,67,56,68,58,76,65,65,75,63,62,59,61,66,77,64,56,61,58,58,75,70,64,75,64,55,64,65,55,62,65,75,56,59,55,75,58,64,56,55,60,75,55,75,56,66,70,57,56
2020-03-24 19:00:00+00:00,57,67,62,58,60,56,75,56,57,78,62,61,52,55,69,74,61,56,54,62,58,79,60,66,78,58,57,61,58,56,61,56,77,56,61,58,78,52,60,55,62,67,75,55,78,57,60,67,58,55
2020-03-24 20:00:00+00:00,57,76,58,61,56,55,73,57,57,79,59,57,57,54,68,73,58,59,53,58,58,79,58,61,75,53,57,59,56,54,58,53,76,53,59,55,77,52,60,53,57,61,73,57,78,57,58,60,53,53
2020-03-24 21:00:00+00:00,54,74,57,58,55,58,72,56,55,76,58,57,56,53,58,72,56,56,53,57,60,75,56,63,73,55,52,59,50,50,57,56,74,56,58,54,74,56,58,54,55,61,72,58,75,50,59,58,54,54
2020-03-24 22:00:00+00:00,56,75,59,58,56,58,74,56,59,75,62,61,57,56,63,74,59,57,57,59,62,75,57,68,74,54,55,62,58,55,57,59,75,56,60,58,75,52,58,56,60,61,74,59,75,59,58,62,56,56
2020-03-24 23:00:00+00:00,50,68,58,59,51,53,65,50,53,71,66,52,50,53,57,65,53,55,52,54,57,70,54,61,66,51,54,58,50,51,51,50,68,52,55,50,68,50,55,49,52,55,65,57,70,53,55,63,48,49
2020-03-25 00:00:00+00:00,60,79,73,65,60,64,77,60,63,79,66,66,61,59,76,77,78,62,63,60,74,80,61,71,78,58,59,76,60,61,61,72,78,62,66,64,79,58,59,63,66,62,77,73,79,68,65,70,61,63
2020-03-25 01:00:00+00:00,78,79,73,69,69,66,78,66,77,79,66,74,59,65,76,78,79,77,59,66,79,80,63,74,79,63,78,78,59,67,63,78,79,78,79,69,79,65,79,61,78,79,78,79,79,63,78,77,63,61
2020-03-25 02:00:00+00:00,79,80,71,76,78,75,79,78,79,79,78,78,69,78,74,79,78,79,62,78,79,80,79,79,79,60,67,77,66,69,67,77,79,79,79,78,79,66,79,64,78,79,77,79,79,73,77,77,67,64
2020-03-25 03:00:00+00:00,67,79,68,79,71,67,79,78,79,79,79,78,64,79,75,79,79,78,64,79,74,79,79,79,79,60,64,78,60,77,68,78,79,78,79,75,79,60,79,67,75,79,77,79,79,79,78,77,60,67
2020-03-25 04:00:00+00:00,63,77,74,80,71,64,76,75,76,79,71,76,58,75,75,76,71,76,63,76,77,78,75,76,76,68,76,76,57,75,61,75,77,74,77,75,77,60,77,75,76,79,76,68,78,75,75,75,63,75
2020-03-25 05:00:00+00:00,75,78,66,83,76,76,76,75,76,81,76,66,57,75,78,76,77,76,58,77,78,80,75,76,77,57,75,76,62,75,63,75,78,73,77,75,79,57,69,66,74,82,75,76,80,75,75,75,63,66
2020-03-25 06:00:00+00:00,76,79,74,79,62,64,77,76,77,79,78,77,61,63,79,77,67,77,63,75,70,79,76,76,78,76,65,73,57,61,63,76,78,76,78,76,79,60,79,68,77,79,77,76,79,76,76,76,62,68
2020-03-25 07:00:00+00:00,76,78,70,81,76,72,76,60,76,80,77,66,60,66,80,76,77,75,59,57,74,80,70,65,77,62,65,66,60,62,59,75,78,75,77,64,78,57,78,63,76,80,76,76,79,64,64,74,62,63
2020-03-25 08:00:00+00:00,77,77,77,76,76,77,77,76,77,77,76,76,75,76,77,76,76,77,75,72,77,77,72,76,77,76,75,74,77,72,76,76,76,74,77,77,77,68,77,61,76,76,76,76,77,77,76,75,77,61
2020-03-25 09:00:00+00:00,69,76,71,63,76,73,78,72,71,77,70,72,72,58,57,79,72,71,58,67,74,78,73,67,77,61,56,75,70,56,68,72,77,74,74,71,77,61,76,58,59,71,75,73,77,74,69,71,65,58
2020-03-25 10:00:00+00:00,54,71,62,61,66,59,80,66,61,80,63,52,55,64,68,79,64,59,53,61,65,81,69,63,80,64,56,65,65,51,58,52,79,60,75,56,80,59,72,57,53,67,73,56,80,60,67,59,55,57
2020-03-25 11:00:00+00:00,59,74,65,65,66,58,78,64,58,81,60,52,69,58,59,77,56,52,54,61,54,82,63,65,79,64,54,53,61,47,63,66,81,54,68,52,81,58,64,53,53,67,72,58,71,58,66,59,56,53
2020-03-25 12:00:00+00:00,57,82,46,59,62,63,76,59,59,82,60,48,67,59,73,75,57,44,56,58,57,82,66,59,77,65,55,58,58,48,57,54,81,57,67,60,82,56,64,48,47,68,68,51,82,53,63,59,55,48
2020-03-25 13:00:00+00:00,54,73,54,66,63,56,71,56,55,73,55,54,58,51,56,70,50,49,54,48,51,73,59,56,73,52,51,56,59,47,56,49,73,49,63,57,73,51,60,51,48,73,63,49,73,51,56,55,48,51
2020-03-25 14:00:00+00:00,54,74,49,56,64,54,71,57,52,76,55,49,71,54,77,67,53,49,58,53,56,77,62,49,71,65,39,54,65,47,59,55,75,50,64,54,76,61,66,49,41,67,58,53,74,53,59,54,53,49
2020-03-25 15:00:00+00:00,55,76,50,57,66,56,73,55,54,76,53,49,58,58,61,70,55,49,58,50,57,76,65,55,73,68,46,55,63,44,57,45,75,48,65,54,76,58,63,49,41,68,59,51,73,58,57,56,51,49
2020-03-25 16:00:00+00:00,57,75,68,62,66,55,75,61,63,75,64,55,54,63,72,74,62,64,55,62,65,75,65,64,75,58,61,63,66,55,62,66,75,58,68,60,75,46,59,57,55,62,76,55,75,54,66,68,57,57
2020-03-25 17:00:00+00:00,63,72,66,63,66,65,71,63,64,73,66,62,61,63,68,70,64,63,59,63,66,73,64,66,72,62,61,67,61,59,61,65,72,64,69,64,72,58,67,60,60,66,70,64,71,65,66,66,60,60
2020-03-25 18:00:00+00:00,50,68,55,53,54,53,67,50,54,70,52,51,47,49,53,66,53,51,50,53,45,69,54,53,68,52,49,54,51,45,55,52,68,53,56,45,69,45,50,45,43,57,59,52,69,49,57,54,50,45
2020-03-25 19:00:00+00:00,40,57,43,51,45,41,54,42,44,62,43,42,42,41,54,54,44,43,40,42,41,60,44,50,56,39,43,47,39,39,42,39,57,41,47,40,58,42,49,40,41,49,54,43,59,44,44,42,44,40
